Date,Time,Weather,Road_Condition,Time_of_Day,Traffic,Accident_Type,Vehicle_Type,Accident_Reason,Latitude,Longitude,Severity
30-06-2025,18:18:12,Fog,Poor,Afternoon,Medium,Head-on,Bus,Weather,40.89319936,-73.89472717,High
11-01-2025,04:28:16,Rain,Moderate,Night,Medium,Rollover,Car,Mechanical Failure,40.55924733,-73.92501283,High
12-07-2025,03:03:09,Clear,Good,Night,High,Side,Car,Distracted Driving,40.59043412,-73.88228611,Medium
01-01-2025,13:52:56,Clear,Good,Afternoon,Medium,Head-on,Car,Distracted Driving,40.59518995,-73.93669786,Medium
17-04-2025,07:34:25,Rain,Good,Morning,Medium,Side,Car,Mechanical Failure,40.74926507,-73.80332563,Low
16-03-2025,09:04:48,Clear,Construction,Morning,Medium,Other,Car,Alcohol,40.91719492,-73.71326168,Low
15-06-2025,19:01:51,Rain,Good,Evening,Jam,Rollover,Car,Speeding,40.55520926,-73.87311477,High
30-03-2025,00:38:23,Clear,Moderate,Night,Low,Side,Motorcycle,Alcohol,40.55452642,-73.76512872,Low
08-08-2025,01:01:47,Clear,Poor,Night,Medium,Rollover,Motorcycle,Mechanical Failure,40.77218776,-73.98981928,High
08-08-2025,05:36:19,Rain,Moderate,Night,Medium,Other,Car,Running Red Light,40.67737677,-73.70448476,Medium
03-02-2025,04:07:49,Clear,Good,Night,Medium,Rear-end,Bicycle,Weather,40.55216077,-73.85457938,Low
12-05-2025,11:43:09,Clear,Good,Morning,High,Rollover,Bus,Mechanical Failure,40.78328177,-73.83294602,Medium
24-01-2025,10:48:30,Clear,Good,Morning,Low,Head-on,Truck,Speeding,40.74707037,-74.06808942,Medium
03-01-2025,20:08:20,Clear,Good,Evening,Medium,Rear-end,Car,Alcohol,40.89431271,-73.95207212,Low
10-01-2025,17:56:26,Clear,Moderate,Afternoon,Medium,Side,Car,Weather,40.58540374,-73.7772029,Low
28-08-2025,04:51:33,Clear,Good,Night,Medium,Head-on,Car,Distracted Driving,40.6229026,-74.03420429,Medium
25-07-2025,17:02:03,Rain,Moderate,Afternoon,Medium,Head-on,Car,Distracted Driving,40.75655716,-73.8113122,Medium
17-08-2025,09:51:54,Clear,Good,Morning,Low,Other,Bicycle,Mechanical Failure,40.76736977,-73.72052426,Low
28-01-2025,01:32:57,Rain,Good,Night,Low,Rollover,Car,Distracted Driving,40.78666771,-73.91553766,High
15-05-2025,16:26:52,Clear,Good,Afternoon,High,Side,Car,Distracted Driving,40.74537279,-74.10976516,Low
22-08-2025,05:44:35,Snow,Good,Night,Medium,Other,Car,Mechanical Failure,40.84158237,-74.10461715,Medium
18-05-2025,05:34:50,Rain,Moderate,Night,Medium,Side,Car,Weather,40.55051535,-73.83152953,Medium
20-02-2025,14:28:13,Clear,Moderate,Afternoon,High,Head-on,Car,Weather,40.88952164,-74.11580405,Medium
18-08-2025,00:28:23,Snow,Good,Night,Medium,Other,Truck,Weather,40.70718843,-73.76481708,Medium
11-04-2025,18:19:16,Clear,Good,Afternoon,Medium,Rollover,Car,Running Red Light,40.88473536,-74.02843403,Medium
01-03-2025,16:11:12,Clear,Good,Afternoon,Low,Side,Car,Alcohol,40.67178191,-73.98192157,Low
05-03-2025,00:35:15,Snow,Moderate,Night,High,Head-on,Bicycle,Weather,40.90087889,-73.80574444,High
19-01-2025,00:30:09,Clear,Construction,Night,Medium,Other,Bus,Speeding,40.84883561,-73.76144929,Medium
06-07-2025,06:54:45,Clear,Good,Night,Low,Head-on,Car,Weather,40.82621854,-73.9904072,Medium
11-07-2025,04:56:21,Rain,Good,Night,High,Other,Car,Speeding,40.81119272,-74.03064517,Medium
06-05-2025,15:46:00,Clear,Good,Afternoon,Jam,Side,Pedestrian,Distracted Driving,40.78066592,-74.03254974,Low
04-05-2025,05:27:21,Rain,Good,Night,Low,Side,Pedestrian,Speeding,40.89624983,-74.13645906,Medium
03-05-2025,03:14:27,Snow,Good,Night,Low,Other,Car,Distracted Driving,40.73949427,-74.06748028,Medium
30-01-2025,18:01:06,Clear,Good,Afternoon,Medium,Head-on,Car,Weather,40.68150195,-74.08522327,Medium
09-08-2025,06:04:17,Fog,Poor,Night,Medium,Side,Car,Speeding,40.58490188,-73.89513295,Medium
02-06-2025,12:28:53,Rain,Good,Morning,High,Rear-end,Car,Speeding,40.75279775,-73.72876268,Medium
24-05-2025,16:25:25,Clear,Good,Afternoon,High,Head-on,Motorcycle,Speeding,40.59587186,-73.73568365,Medium
17-03-2025,03:17:58,Snow,Good,Night,High,Head-on,Bus,Other,40.91783062,-74.12733162,High
20-08-2025,10:51:37,Rain,Poor,Morning,Low,Head-on,Motorcycle,Mechanical Failure,40.76459138,-73.88971498,High
01-02-2025,00:55:19,Clear,Moderate,Night,Medium,Head-on,Car,Weather,40.55112274,-73.82226531,Medium
23-04-2025,08:59:35,Rain,Moderate,Morning,High,Rollover,Car,Running Red Light,40.65910663,-73.81531689,High
01-02-2025,09:16:33,Fog,Good,Morning,High,Rollover,Car,Distracted Driving,40.56758084,-73.88544774,High
01-07-2025,07:00:45,Rain,Construction,Morning,Medium,Other,Car,Distracted Driving,40.71530254,-73.71135237,Medium
20-05-2025,06:37:31,Snow,Moderate,Night,Medium,Rollover,Motorcycle,Distracted Driving,40.77641379,-74.02782372,High
18-02-2025,10:14:16,Clear,Good,Morning,Jam,Rear-end,Car,Speeding,40.91944364,-74.06417711,Low
05-02-2025,15:51:31,Rain,Poor,Afternoon,Low,Side,Car,Running Red Light,40.60241994,-73.99508935,Medium
12-05-2025,09:45:40,Rain,Good,Morning,Low,Rear-end,Pedestrian,Distracted Driving,40.83189163,-74.11525092,Low
20-02-2025,00:37:32,Clear,Good,Night,Jam,Rollover,Bus,Alcohol,40.81935305,-73.74324657,High
13-05-2025,03:19:17,Rain,Good,Night,Low,Other,Motorcycle,Speeding,40.76879603,-73.7303309,Medium
30-04-2025,20:51:15,Clear,Good,Evening,Low,Other,Car,Distracted Driving,40.74358634,-73.78789184,Low
21-08-2025,17:04:25,Rain,Good,Afternoon,Low,Side,Truck,Other,40.77653633,-74.09313835,Low
18-04-2025,07:44:24,Rain,Moderate,Morning,Medium,Head-on,Car,Distracted Driving,40.58940392,-73.76087467,Medium
26-07-2025,15:29:17,Clear,Moderate,Afternoon,Low,Head-on,Bus,Mechanical Failure,40.76850457,-74.01490975,Medium
27-06-2025,13:37:01,Rain,Good,Afternoon,Medium,Rollover,Bus,Speeding,40.7984824,-74.13004553,Medium
09-03-2025,13:26:36,Clear,Moderate,Afternoon,Low,Rollover,Motorcycle,Distracted Driving,40.89837403,-73.90274683,Medium
04-04-2025,15:25:36,Clear,Moderate,Afternoon,High,Other,Car,Alcohol,40.85982987,-73.77020014,Low
28-04-2025,05:15:30,Clear,Poor,Night,Low,Other,Car,Weather,40.75164024,-73.80124074,Medium
22-06-2025,14:06:00,Clear,Moderate,Afternoon,Medium,Side,Car,Speeding,40.73985989,-73.71265736,Low
22-06-2025,16:53:15,Snow,Good,Afternoon,Medium,Other,Car,Speeding,40.59834754,-73.76985566,Low
31-01-2025,19:44:06,Clear,Good,Evening,Low,Other,Car,Distracted Driving,40.82705567,-74.02355723,Low
28-04-2025,18:32:09,Clear,Good,Afternoon,Low,Other,Car,Mechanical Failure,40.6892587,-73.92470703,Low
20-03-2025,14:22:48,Snow,Good,Afternoon,High,Head-on,Truck,Speeding,40.73520802,-73.87509896,High
02-04-2025,13:08:19,Clear,Good,Afternoon,Medium,Head-on,Truck,Speeding,40.72202085,-73.91919794,Medium
15-06-2025,17:18:48,Clear,Good,Afternoon,Medium,Rollover,Truck,Weather,40.60970606,-73.87824311,Medium
09-02-2025,20:41:24,Clear,Good,Evening,Medium,Rollover,Truck,Speeding,40.55923928,-73.75899102,Medium
18-08-2025,00:46:21,Clear,Moderate,Night,High,Other,Car,Distracted Driving,40.87874674,-74.00796446,Medium
01-08-2025,21:09:53,Clear,Moderate,Evening,High,Head-on,Car,Weather,40.62857661,-73.80743966,High
28-02-2025,15:15:12,Rain,Moderate,Afternoon,High,Side,Truck,Running Red Light,40.8664917,-73.85643428,Medium
29-08-2025,03:06:57,Clear,Poor,Night,Medium,Rollover,Bicycle,Weather,40.88041224,-74.07202931,High
13-08-2025,22:09:14,Snow,Good,Evening,Medium,Other,Car,Distracted Driving,40.61353441,-74.05078418,Medium
26-03-2025,17:55:53,Clear,Good,Afternoon,Low,Other,Truck,Speeding,40.87544367,-73.74207159,Low
11-06-2025,08:06:40,Rain,Good,Morning,High,Rollover,Motorcycle,Alcohol,40.70444851,-74.0694016,High
02-07-2025,08:17:11,Rain,Good,Morning,Medium,Rear-end,Car,Running Red Light,40.61803723,-73.72427676,Low
28-04-2025,11:10:35,Rain,Moderate,Morning,Medium,Other,Car,Speeding,40.75449982,-73.7377948,Low
24-01-2025,06:13:26,Fog,Moderate,Night,Medium,Head-on,Car,Other,40.64252866,-73.93516362,High
29-01-2025,10:14:30,Clear,Moderate,Morning,High,Rollover,Pedestrian,Distracted Driving,40.69107057,-74.12224889,Medium
26-02-2025,05:00:47,Clear,Good,Night,Medium,Rear-end,Car,Distracted Driving,40.79944063,-74.02496338,Low
29-07-2025,09:29:08,Clear,Good,Morning,Medium,Rollover,Car,Running Red Light,40.84294039,-74.13087498,Medium
24-06-2025,05:28:00,Clear,Good,Night,Medium,Rollover,Car,Weather,40.80515144,-73.81297332,Medium
29-03-2025,22:09:45,Rain,Moderate,Evening,Medium,Head-on,Pedestrian,Other,40.5775542,-73.87370567,High
20-01-2025,04:51:06,Clear,Good,Night,High,Other,Car,Speeding,40.67891999,-74.12871371,Medium
08-01-2025,19:10:12,Rain,Good,Evening,Medium,Rollover,Motorcycle,Distracted Driving,40.82677429,-74.08962745,High
06-04-2025,11:02:32,Rain,Poor,Morning,Low,Head-on,Car,Speeding,40.86873149,-74.04579463,High
29-05-2025,12:19:55,Clear,Moderate,Morning,High,Other,Car,Distracted Driving,40.61753132,-74.14077703,Low
30-05-2025,12:50:19,Clear,Good,Morning,Low,Rollover,Motorcycle,Running Red Light,40.60390116,-73.84679085,Medium
23-07-2025,17:43:18,Clear,Moderate,Afternoon,Low,Rear-end,Motorcycle,Weather,40.65425337,-73.81604989,Low
26-07-2025,18:22:37,Snow,Poor,Afternoon,Medium,Side,Bicycle,Speeding,40.58200325,-73.91944231,Medium
28-06-2025,11:37:20,Rain,Poor,Morning,Medium,Head-on,Motorcycle,Distracted Driving,40.55240725,-73.73651475,High
19-02-2025,15:51:37,Fog,Good,Afternoon,High,Rollover,Car,Mechanical Failure,40.70690564,-74.00664428,High
24-08-2025,15:56:53,Fog,Poor,Afternoon,Low,Side,Motorcycle,Speeding,40.8425437,-73.82062496,Medium
28-06-2025,20:45:51,Rain,Poor,Evening,Medium,Head-on,Car,Distracted Driving,40.5659472,-73.70365082,High
10-07-2025,01:16:47,Clear,Moderate,Night,High,Side,Bus,Distracted Driving,40.58841399,-74.10275391,Medium
09-03-2025,17:59:44,Clear,Moderate,Afternoon,High,Other,Car,Distracted Driving,40.65566074,-74.07134768,Low
01-01-2025,12:37:55,Clear,Good,Morning,Jam,Head-on,Car,Distracted Driving,40.61572643,-73.84805244,Medium
26-02-2025,05:42:19,Clear,Good,Night,Medium,Head-on,Car,Weather,40.68328776,-73.85467532,Medium
04-01-2025,08:13:10,Rain,Good,Morning,Jam,Side,Bus,Speeding,40.5907432,-73.89244287,Medium
